Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total new BEV registrations,466,392,622,1233,3444,4013,8646,15678,22852,17459
% of total new registrations,not available,not available,0.5%,1.0%,2.94%,4.54%,8.24%,14.88%,18.66%,14.4%
