Year,2015[413],2016[414],2017[406],2018[415],2019[407],2020[408],2021[416],2024[409]
Total new BEV registrations,25788,24245,33080,46143,60345,76804,113751,114409
% of total new registrations,17.1%,15.7%,20.9%,31.2%,42.4%,54.3%,64.5%,88.1%
