Product category (code),Global exports (in millions USD),Rank,Country,Exports (in millions USD)
"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles (8710)",4524.0,2.0,United States,1081.0
"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles (8710)",4524.0,3.0,South Korea,414.0
"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles (8710)",4524.0,4.0,Spain,333.0
"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles (8710)",4524.0,5.0,United Kingdom,170.0
,,,,
"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side−cars; side−cars (8711)",42155.0,1.0,China,11591.0
"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side−cars; side−cars (8711)",42155.0,2.0,Germany,3572.0
"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side−cars; side−cars (8711)",42155.0,3.0,Japan,3510.0
"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side−cars; side−cars (8711)",42155.0,4.0,Thailand,3476.0
"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with or without side−cars; side−cars (8711)",42155.0,5.0,India,2617.0
,,,,
"Bicycles and other cycles, incl. delivery tricycles, not motorised (8712)",9692.0,1.0,China,2630.0
"Bicycles and other cycles, incl. delivery tricycles, not motorised (8712)",9692.0,2.0,Taiwan,1393.0
"Bicycles and other cycles, incl. delivery tricycles, not motorised (8712)",9692.0,3.0,Germany,962.0
"Bicycles and other cycles, incl. delivery tricycles, not motorised (8712)",9692.0,4.0,Netherlands,689.0
"Bicycles and other cycles, incl. delivery tricycles, not motorised (8712)",9692.0,5.0,Cambodia,417.0
,,,,
"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled (excl. specially designed motor vehicles and bicycles) (8713)",1993.0,1.0,China,1060.0
"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled (excl. specially designed motor vehicles and bicycles) (8713)",1993.0,2.0,Germany,149.0
"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled (excl. specially designed motor vehicles and bicycles) (8713)",1993.0,3.0,Taiwan,110.0
"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled (excl. specially designed motor vehicles and bicycles) (8713)",1993.0,4.0,United States,87.0
"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled (excl. specially designed motor vehicles and bicycles) (8713)",1993.0,5.0,Netherlands,79.0
,,,,
Parts and accessories for motorcycles and bicycles and for carriages for disabled persons (8714),28612.0,1.0,China,10466.0
Parts and accessories for motorcycles and bicycles and for carriages for disabled persons (8714),28612.0,2.0,Taiwan,6120.0
Parts and accessories for motorcycles and bicycles and for carriages for disabled persons (8714),28612.0,3.0,Japan,1609.0
Parts and accessories for motorcycles and bicycles and for carriages for disabled persons (8714),28612.0,4.0,Italy,1492.0
Parts and accessories for motorcycles and bicycles and for carriages for disabled persons (8714),28612.0,5.0,Germany,1269.0
,,,,
Baby carriages and parts thereof (8715),2451.0,1.0,China,1652.0
