Country,Year,total_vehicles_sold,EV_market_share
Italy,2021,1457952.0,9.3
Italy,2022,1316702.0,8.8
Italy,2023,1566448.0,8.6
Italy,2024,1558704.0,7.5
Italy,2025,1530000.0,12.5
Japan,2018,5272067.0,1.0
Japan,2019,5195216.0,0.9
Japan,2020,4598615.0,0.6
Japan,2021,4448340.0,1.0
Japan,2022,4201321.0,3.0
Japan,2023,4779086.0,3.6
Japan,2024,4421494.0,1.8
Japan,2025,4565777.0,2.0
Kazakhstan,2018,58465.0,0
Kazakhstan,2019,75093.0,0
Kazakhstan,2020,92979.0,0
Kazakhstan,2021,119454.0,0
Kazakhstan,2022,123779.0,0.01
Kazakhstan,2023,198842.0,0.02
Kazakhstan,2024,205111.0,0.02
Kazakhstan,2025,234852.0,0.05
Latvia,2018,19325.0,0.5
Latvia,2019,19488.0,1.0
Latvia,2020,13720.0,2.5
Latvia,2021,14344.0,5.0
Latvia,2022,19180.0,8.0
Latvia,2023,21204.0,10.0
Latvia,2024,17128.0,9.5
Latvia,2025,25194.0,7.1
Malaysia,2018,598714.0,0.0
Malaysia,2019,604287.0,0.0
Malaysia,2020,529434.0,0.0
Malaysia,2021,508911.0,0.0
Malaysia,2022,720658.0,0.00365
Malaysia,2023,799731.0,0.0127
Malaysia,2024,816747.0,0.0254
Malaysia,2025,820752.0,0.052
Mexico,2018,1427086.0,0.0
Mexico,2019,1317931.0,0.0
Mexico,2020,950063.0,0.0
Mexico,2021,1014735.0,0.001
Mexico,2022,1094728.0,0.005
Mexico,2023,1363714.0,0.052
Mexico,2024,1504322.0,0.082
Mexico,2025,1524638.0,0.06
Netherlands,2018,446589.0,6.2
Netherlands,2019,446114.0,14.9
Netherlands,2020,357414.0,24.6
Netherlands,2021,322831.0,29.8
Netherlands,2022,311429.0,34.9
Netherlands,2023,369244.0,44.0
Netherlands,2024,381227.0,48.4
Netherlands,2025,391000.0,56.5
New Zealand,2018,169787.0,1.4
New Zealand,2019,154406.0,2.7
New Zealand,2020,119609.0,2.8
New Zealand,2021,165287.0,8.2
New Zealand,2022,116451.0,19.7
New Zealand,2023,149260.0,27.2
New Zealand,2024,87435.0,11.2
New Zealand,2025,137901.0,10.7
Norway,2018,147929.0,49.1
Norway,2019,142381.0,55.9
Norway,2020,141405.0,74.7
Norway,2021,176276.0,86.2
Norway,2022,200840.0,87.6
Norway,2023,126948.0,90.4
Norway,2024,128691.0,91.6
Norway,2025,179549.0,97.4
Pakistan,2018,264442.0,0.0
Pakistan,2019,186588.0,0.0
Pakistan,2020,127939.0,0.0
Pakistan,2021,242886.0,0.0
Pakistan,2022,225050.0,0.0
Pakistan,2023,81587.0,0.0
Pakistan,2024,123982.0,0.0
Pakistan,2025,173781.0,0.0
Peru,2018,165802.0,0.0
Peru,2019,151997.0,0.0
Peru,2020,125090.0,0.0035
Peru,2021,157001.0,0.0
Peru,2022,159270.0,0.015
Peru,2023,165146.0,0.002
Peru,2024,169309.0,0.039
Peru,2025,186981.0,0.047
Philippines,2018,357410.0,0.0196
Philippines,2019,369941.0,0.0005
Philippines,2020,223793.0,0.0015
Philippines,2021,268488.0,0.003
Philippines,2022,352596.0,0.027
Philippines,2023,429807.0,0.0247
Philippines,2024,467252.0,0.037
Philippines,2025,491395.0,0.07
Portugal,2018,227441.0,3.6
Portugal,2019,231492.0,5.7
Portugal,2020,145417.0,13.5
Portugal,2021,146706.0,20.0
Portugal,2022,156309.0,21.7
Portugal,2023,199572.0,31.8
Portugal,2024,209716.0,33.4
Portugal,2025,225038.0,38.4
Romania,2018,130953.0,2.89
Romania,2019,161533.0,4.18
Romania,2020,126375.0,7.12
Romania,2021,121181.0,15.5
