Country,Year,vehicles_per_1000_people,Road motor vehicles,Population
Portugal,2024,567.0,7198871,10417073
Romania,2023,492.9,9422452,19118479
Romania,2024,444.0,9148003,19166773
Russia,2023,364.0,53000000,145440501
Russia,2024,376.8,55060000,146100000
Rwanda,2020,20.0,264524,13065837
Rwanda,2024,27.6,394157,14260000
Saint Kitts and Nevis,2023,543.0,25374,46758
Saint Kitts and Nevis,2024,43.5,2039,46843
San Marino,2023,1592.0,53900,33860
San Marino,2024,1606.0,53940,33581
Serbia,2024,377.0,2389105,6641197
Singapore,2023,172.0,996732,5789090
Singapore,2024,166.7,1007094,6040000
Slovakia,2023,608.4,3301919,5426740
Slovakia,2024,502.0,3286249,5450626
Slovenia,2023,801.7,1700000,2120461
Slovenia,2023,801.7,1700000,2120461
Slovenia,2024,587.0,1228051,2115228
South Africa,2024,208.0,13304703,64007187
South Korea,2023,501.0,25949201,51748739
South Korea,2024,507.7,26298000,51800000
Spain,2024,544.0,30724166,47828383
Sri Lanka,2022,366.0,8352213,22834965
Suriname,2020,394.0,241391,612317
Sweden,2023,472.4,4977163,10536632
Sweden,2023,472.4,4977163,10536632
Sweden,2024,470.0,5682251,10487338
Switzerland,2024,542.0,5301789,8792182
Syria,2020,466.0,9810000,21049429
Taiwan,2023,967.1,23136070,23923276
Taiwan,2024,997.2,23335950,23400000
Taiwan,2025,999.0,23353315,23374742
Tonga,2018,158.0,16717,105567
Turkey,2023,354.0,30261176,85372377
Turkey,2024,354.5,30261176,85372377
Ukraine,2021,237.0,10500000,44298640
United Kingdom,2023,606.1,41400000,68300000
United Kingdom,2024,603.0,41700000,69138192
United States,2023,779.0,259238294,333287557
United States,2024,890.0,298900000,335893000
Uzbekistan,2022,87.0,3051734,34938956
Uzbekistan,2024,93.4,3450000,36929000
Venezuela,2020,149.0,4235000,28444078
Vietnam,2020,43.0,4180480,98079191
Zambia,2020,45.0,853909,19059395
Zimbabwe,2022,91.0,1467955,16069056
